datasets,Edge_measures,Modularity,GlobalEfficiency
ER,Unpruned,"[0.25915642722117205, 0.20223062381852552, 0.2994712385835603, 0.2402921597633136, 0.2906925207756233, 0.24796925495676475, 0.27686257838239986, 0.27848307291666663, 0.2741638321995465, 0.3018918057179296]","[0.5580645161290304, 0.5924059139784944, 0.5080981182795672, 0.5806451612903225, 0.554435483870966, 0.5799731182795695, 0.5527553763440851, 0.553427419354838, 0.5278897849462353, 0.5500672043010743]"
ER,FR,"[0.2668334234721471, 0.2046362283655729, 0.33779916753381894, 0.25267538644470866, 0.2927103024574669, 0.625, 0.27686257838239986, 0.4583333333333333, 0.2741638321995465, 0.3018918057179296]","[0.5440860215053743, 0.5880376344086026, 0.47028673835125173, 0.5346102150537628, 0.5453629032258056, 0.21428571428571427, 0.5527553763440851, 0.4467222222222232, 0.5278897849462353, 0.5500672043010743]"
ER,ORC,"[0.3119387755102041, 0.26, 0.2996506315506584, 0.59875, 0.2906925207756233, 0.30346519928613924, 0.27686257838239986, 0.78125, 0.5260416666666667, 0.32515138408304495]","[0.5019713261648722, 0.5800000000000001, 0.47154121863799053, 0.2759829588401019, 0.554435483870966, 0.5241935483870942, 0.5527553763440851, 0.12179487179487179, 0.3625901875901873, 0.5040996168582349]"
ER,EBC,"[0.284118166898119, 0.20223062381852552, 0.3443877551020408, 0.5030864197530863, 0.2848756470142659, 0.3159129292550196, 0.27686257838239986, 0.37834821428571425, 0.36251300728407904, 0.2941069919091897]","[0.5519713261648729, 0.5924059139784944, 0.48444220430107204, 0.39022720199190786, 0.5425067204301065, 0.501008064516126, 0.5527553763440851, 0.4611469534050158, 0.47279569892472856, 0.5384744623655899]"
WS,Unpruned,"[0.34033203125, 0.4224853515625, 0.3828125, 0.3687744140625, 0.3902587890625, 0.3521728515625, 0.358642578125, 0.351318359375, 0.4515380859375, 0.4169921875]","[0.47379032258064274, 0.4587029569892442, 0.46031586021505116, 0.4739583333333304, 0.46965725806451303, 0.4688172043010726, 0.4722782258064489, 0.4664650537634382, 0.449596774193546, 0.46021505376343785]"
WS,FR,"[0.3650416171224733, 0.4224853515625, 0.6045918367346939, 0.6344000000000001, 0.41259105098855353, 0.3521728515625, 0.4100346020761245, 0.5294117647058824, 0.46214219759926123, 0.4247063011747953]","[0.4495967741935456, 0.4587029569892442, 0.23615196078431389, 0.1825328991995659, 0.45856854838709404, 0.4688172043010726, 0.4229838709677395, 0.36236489847600917, 0.42553763440859993, 0.4254121863799263]"
WS,ORC,"[0.6288, 0.5798898071625345, 0.3828125, 0.4848566792861006, 0.4099323602705589, 0.4980276134122288, 0.6412742382271467, 0.4994834710743801, 0.5624, 0.4329446064139942]","[0.24995604395604376, 0.28928375948080276, 0.46031586021505116, 0.39611367127495983, 0.4331653225806431, 0.370262725779966, 0.20341269841269846, 0.3735359062980017, 0.2998706004140784, 0.41408602150537455]"
WS,EBC,"[0.4014423076923077, 0.487120338331411, 0.4242112482853223, 0.5905349794238683, 0.3851388888888889, 0.5220408163265305, 0.4809637120761451, 0.551038062283737, 0.6812499999999999, 0.4169921875]","[0.4256720430107502, 0.41206317204300885, 0.4398207885304638, 0.3343240740740739, 0.45991263440859953, 0.3757464096749811, 0.36920122887864676, 0.35585268590194635, 0.1456866804692892, 0.46021505376343785]"
BA,Unpruned,"[0.18213991769547327, 0.21053497942386828, 0.18614540466392315, 0.19240054869684503, 0.2007133058984911, 0.2003840877914952, 0.19399176954732508, 0.19037037037037038, 0.20219478737997257, 0.17530864197530865]","[0.6327284946236559, 0.6246639784946242, 0.6253360215053769, 0.6263440860215057, 0.6300403225806454, 0.6260080645161298, 0.6290322580645163, 0.6260080645161294, 0.6276881720430112, 0.6276881720430112]"
BA,FR,"[0.2536802685950413, 0.2876294378698225, 0.18614540466392315, 0.30847755543537053, 0.2007133058984911, 0.3335647688950605, 0.21720573263372234, 0.2712200090538705, 0.20219478737997257, 0.3397012352772192]","[0.5570881226053616, 0.5720766129032252, 0.6253360215053769, 0.5460573476702484, 0.6300403225806454, 0.44129032258064277, 0.6107526881720425, 0.5593077956989244, 0.6276881720430112, 0.3607526881720424]"
BA,ORC,"[0.35760000000000003, 0.2884917280521676, 0.20354105029585798, 0.3641975308641976, 0.2007133058984911, 0.2003840877914952, 0.4444444444444444, 0.19037037037037038, 0.391156462585034, 0.31087802768166084]","[0.42583333333333473, 0.5532594086021494, 0.5853494623655915, 0.4191033138401563, 0.6300403225806454, 0.6260080645161298, 0.3392857142857143, 0.6260080645161294, 0.44011494252873284, 0.5087365591397814]"
BA,EBC,"[0.33525567089580927, 0.3104248046875, 0.18409716827907635, 0.38588088296543105, 0.21106557377049182, 0.2003840877914952, 0.20600043402777776, 0.39177643289426844, 0.20974884913466577, 0.36479177934018386]","[0.4813218390804583, 0.4916858237547875, 0.6014784946236557, 0.43842364532019534, 0.6122311827956985, 0.6260080645161298, 0.5747311827956976, 0.44311827956989, 0.6226478494623657, 0.4604444444444451]"
