datasets,Edge_measures,Accuracy,Specificity,Recall/Sensitivity,Precision,F1_Score,AUC_ROC
ER,FR,"[97.45161290322581, 96.41935483870968, 97.06451612903226, 97.67741935483872, 97.35483870967741, 96.93548387096774, 97.03225806451613, 97.3225806451613, 97.09677419354838, 96.96774193548387]","[97.66666666666667, 96.7, 97.33333333333334, 98.06666666666666, 97.53333333333333, 97.2, 97.26666666666667, 97.76666666666667, 97.33333333333334, 97.16666666666667]","[91.0, 88.0, 89.0, 86.0, 92.0, 89.0, 90.0, 84.0, 90.0, 91.0]","[56.52173913043478, 47.05882352941176, 52.662721893491124, 59.72222222222222, 55.42168674698795, 51.445086705202314, 52.32558139534884, 55.62913907284768, 52.94117647058824, 51.70454545454546]","[69.73180076628353, 61.32404181184668, 66.17100371747212, 70.49180327868852, 69.17293233082707, 65.2014652014652, 66.1764705882353, 66.93227091633466, 66.66666666666667, 65.94202898550725]","[97.58066666666667, 98.15333333333332, 98.56700000000001, 98.41666666666666, 98.14433333333334, 97.77766666666668, 98.04, 97.42200000000001, 97.88466666666666, 98.31633333333333]"
ER,ORC,"[97.38709677419355, 96.41935483870968, 96.90322580645162, 97.80645161290322, 97.0, 96.0, 97.03225806451613, 97.09677419354838, 97.35483870967741, 96.96774193548387]","[97.63333333333334, 96.7, 97.16666666666667, 98.1, 97.26666666666667, 96.23333333333333, 97.26666666666667, 97.43333333333334, 97.6, 97.16666666666667]","[90.0, 88.0, 89.0, 89.0, 89.0, 89.0, 90.0, 87.0, 90.0, 91.0]","[55.90062111801242, 47.05882352941176, 51.14942528735632, 60.95890410958904, 52.046783625730995, 44.05940594059406, 52.32558139534884, 53.04878048780488, 55.55555555555556, 51.70454545454546]","[68.96551724137932, 61.32404181184668, 64.96350364963503, 72.35772357723576, 65.68265682656826, 58.94039735099338, 66.1764705882353, 65.90909090909092, 68.70229007633587, 65.94202898550725]","[98.29133333333333, 98.15333333333332, 98.50999999999999, 97.18266666666668, 98.38866666666667, 97.516, 98.04, 97.81433333333334, 98.20033333333333, 98.31633333333333]"
ER,EBC,"[97.45161290322581, 96.41935483870968, 96.90322580645162, 97.29032258064517, 97.06451612903226, 96.7741935483871, 97.03225806451613, 97.3225806451613, 97.29032258064517, 96.96774193548387]","[97.66666666666667, 96.7, 97.16666666666667, 97.63333333333334, 97.3, 97.0, 97.26666666666667, 97.66666666666667, 97.46666666666667, 97.16666666666667]","[91.0, 88.0, 89.0, 87.0, 90.0, 90.0, 90.0, 87.0, 92.0, 91.0]","[56.52173913043478, 47.05882352941176, 51.14942528735632, 55.06329113924051, 52.63157894736842, 50.0, 52.32558139534884, 55.4140127388535, 54.761904761904766, 51.70454545454546]","[69.73180076628353, 61.32404181184668, 64.96350364963503, 67.44186046511629, 66.42066420664207, 64.28571428571429, 66.1764705882353, 67.70428015564201, 68.65671641791046, 65.94202898550725]","[97.58066666666667, 98.15333333333332, 98.50999999999999, 98.04933333333334, 98.25, 97.61000000000001, 98.04, 97.87133333333334, 98.12666666666667, 98.31633333333333]"
WS,FR,"[96.45161290322581, 97.12903225806451, 96.70967741935483, 97.61290322580645, 97.03225806451613, 97.25806451612902, 97.19354838709677, 97.41935483870968, 97.09677419354838, 97.12903225806451]","[96.76666666666667, 97.39999999999999, 97.03333333333333, 97.93333333333332, 97.23333333333333, 97.56666666666666, 97.5, 97.63333333333334, 97.3, 97.36666666666667]","[87.0, 89.0, 87.0, 88.0, 91.0, 88.0, 88.0, 91.0, 91.0, 90.0]","[47.28260869565217, 53.293413173652695, 49.43181818181818, 58.666666666666664, 52.29885057471264, 54.6583850931677, 53.987730061349694, 56.17283950617284, 52.90697674418605, 53.25443786982249]","[61.26760563380282, 66.66666666666666, 63.04347826086957, 70.39999999999999, 66.42335766423358, 67.43295019157088, 66.92015209125476, 69.46564885496184, 66.91176470588235, 66.91449814126396]","[95.48383333333335, 97.17683333333333, 96.54816666666667, 95.83800000000001, 96.66916666666667, 96.55650000000001, 96.66483333333333, 96.25916666666667, 97.80416666666667, 97.1875]"
WS,ORC,"[96.64516129032258, 97.25806451612902, 96.67741935483872, 97.35483870967741, 97.41935483870968, 97.80645161290322, 97.7741935483871, 97.80645161290322, 97.64516129032258, 96.87096774193549]","[96.8, 97.5, 97.03333333333333, 97.7, 97.63333333333334, 98.1, 98.1, 98.13333333333333, 97.83333333333334, 97.1]","[92.0, 90.0, 86.0, 87.0, 91.0, 89.0, 88.0, 88.0, 92.0, 90.0]","[48.93617021276596, 54.54545454545454, 49.142857142857146, 55.769230769230774, 56.17283950617284, 60.95890410958904, 60.689655172413794, 61.111111111111114, 58.59872611464968, 50.847457627118644]","[63.888888888888886, 67.9245283018868, 62.54545454545454, 67.96875000000001, 69.46564885496184, 72.35772357723576, 71.83673469387755, 72.1311475409836, 71.59533073929961, 64.98194945848375]","[98.2385, 96.87083333333334, 94.92683333333332, 95.14566666666667, 96.88466666666667, 95.88850000000002, 97.25566666666667, 96.36816666666667, 95.4035, 96.57066666666665]"
WS,EBC,"[96.61290322580646, 97.38709677419355, 97.0, 97.06451612903226, 97.03225806451613, 97.45161290322581, 97.19354838709677, 97.12903225806451, 97.38709677419355, 96.87096774193549]","[96.86666666666667, 97.63333333333334, 97.33333333333334, 97.43333333333334, 97.23333333333333, 97.73333333333333, 97.43333333333334, 97.43333333333334, 97.66666666666667, 97.1]","[89.0, 90.0, 87.0, 86.0, 91.0, 89.0, 90.0, 88.0, 89.0, 90.0]","[48.63387978142077, 55.90062111801242, 52.09580838323353, 52.760736196319016, 52.29885057471264, 56.68789808917197, 53.89221556886228, 53.333333333333336, 55.9748427672956, 50.847457627118644]","[62.89752650176679, 68.96551724137932, 65.1685393258427, 65.39923954372622, 66.42335766423358, 69.26070038910507, 67.41573033707866, 66.41509433962264, 68.72586872586872, 64.98194945848375]","[96.50266666666667, 97.75283333333333, 96.53216666666667, 95.93283333333333, 96.66916666666667, 97.83600000000001, 96.6795, 98.17716666666666, 97.26416666666667, 96.57066666666665]"
BA,FR,"[96.96774193548387, 97.25806451612902, 97.06451612903226, 96.90322580645162, 96.7741935483871, 97.25806451612902, 97.0, 97.03225806451613, 96.87096774193549, 97.12903225806451]","[97.3, 97.5, 97.26666666666667, 97.2, 96.93333333333334, 97.56666666666666, 97.26666666666667, 97.3, 97.16666666666667, 97.5]","[87.0, 90.0, 91.0, 88.0, 92.0, 88.0, 89.0, 89.0, 88.0, 86.0]","[51.78571428571429, 54.54545454545454, 52.601156069364166, 51.162790697674424, 50.0, 54.6583850931677, 52.046783625730995, 52.352941176470594, 50.86705202312138, 53.41614906832298]","[64.92537313432835, 67.9245283018868, 66.66666666666667, 64.70588235294117, 64.7887323943662, 67.43295019157088, 65.68265682656826, 65.92592592592592, 64.46886446886447, 65.90038314176245]","[95.66933333333334, 97.10433333333333, 97.27483333333333, 97.352, 98.56083333333333, 96.61766666666666, 97.14150000000001, 97.1485, 96.22266666666667, 95.62366666666668]"
BA,ORC,"[97.74193548387096, 97.45161290322581, 97.06451612903226, 97.35483870967741, 96.7741935483871, 97.06451612903226, 97.0, 96.90322580645162, 97.58064516129032, 97.38709677419355]","[98.13333333333333, 97.76666666666667, 97.26666666666667, 97.63333333333334, 96.93333333333334, 97.36666666666667, 97.16666666666667, 97.23333333333333, 97.8, 97.63333333333334]","[86.0, 88.0, 91.0, 89.0, 92.0, 88.0, 92.0, 87.0, 91.0, 90.0]","[60.56338028169014, 56.774193548387096, 52.601156069364166, 55.625, 50.0, 52.69461077844312, 51.9774011299435, 51.17647058823529, 57.961783439490446, 55.90062111801242]","[71.07438016528926, 69.01960784313725, 66.66666666666667, 68.46153846153847, 64.7887323943662, 65.91760299625469, 66.4259927797834, 64.44444444444444, 70.8171206225681, 68.96551724137932]","[95.77333333333335, 96.14383333333333, 97.27483333333333, 97.15483333333333, 98.56083333333333, 96.13133333333333, 97.6485, 96.04083333333332, 96.27, 97.76933333333334]"
BA,EBC,"[97.54838709677419, 97.06451612903226, 97.06451612903226, 97.7741935483871, 96.7741935483871, 97.06451612903226, 96.41935483870968, 97.41935483870968, 96.93548387096774, 97.0]","[97.86666666666667, 97.3, 97.26666666666667, 98.06666666666666, 96.93333333333334, 97.36666666666667, 96.56666666666666, 97.66666666666667, 97.16666666666667, 97.33333333333334]","[88.0, 90.0, 91.0, 89.0, 92.0, 88.0, 92.0, 90.0, 90.0, 87.0]","[57.89473684210527, 52.63157894736842, 52.601156069364166, 60.544217687074834, 50.0, 52.69461077844312, 47.179487179487175, 56.25, 51.42857142857142, 52.09580838323353]","[69.84126984126985, 66.42066420664207, 66.66666666666667, 72.06477732793523, 64.7887323943662, 65.91760299625469, 62.37288135593221, 69.23076923076923, 65.45454545454545, 65.1685393258427]","[96.82533333333335, 96.6645, 97.27483333333333, 96.35583333333332, 98.56083333333333, 96.13133333333333, 96.95316666666668, 97.30433333333333, 97.59133333333334, 95.61166666666668]"
