datasets,Edge_measures,Compressionratio,Theoreticalspeedup
ER,FR,"[1.0, 1.0, 1.0325113291358035, 1.0, 1.0, 4.004861008931831, 1.0, 1.3846184842673641, 1.0, 1.0]","[1.0, 1.0, 1.0323269374834774, 1.0, 1.0, 4.150619086147723, 1.0, 1.3454299443508406, 1.0, 1.0]"
ER,ORC,"[1.0, 4.160998869160731, 1.048480602324519, 1.6344946596821903, 1.0, 1.0295025748211073, 1.0, 2.455734115575653, 1.6266700478531815, 1.1322605536248087]","[1.0, 4.471968035757226, 1.0424958131676807, 1.5916458445331993, 1.0, 1.0188978046078534, 1.0, 2.4480941617827034, 1.5569089928155526, 1.1082255726029586]"
ER,EBC,"[1.0, 1.0, 1.0, 1.7305385051120377, 1.0, 1.0, 1.0, 1.0456560559596872, 1.033532796557954, 1.014328558054473]","[1.0, 1.0, 1.0, 1.7431322690495494, 1.0, 1.0, 1.0, 1.0408848768827175, 1.032970142523492, 1.009273650665646]"
WS,FR,"[1.0151997182350427, 1.0, 1.9251157637567116, 1.2341711399797495, 1.0, 1.0, 1.0295025748211073, 1.200847738736987, 1.0, 1.03155025343232]","[1.0096309052699142, 1.0, 1.9053004078275764, 1.215280625248471, 1.0, 1.0, 1.0188978046078534, 1.194661484911141, 1.0, 1.0317083484221432]"
WS,ORC,"[1.3362605543353523, 1.1464391801881562, 1.0, 1.0492422038523106, 1.014328558054473, 1.098693043018051, 1.611405541826825, 1.0295025748211073, 1.391601684341859, 1.0470259542463267]","[1.295062005141384, 1.129962953622551, 1.0, 1.0429185801127858, 1.009273650665646, 1.086974197157115, 1.5770211017432803, 1.0188978046078534, 1.3687658549305215, 1.0416747831744118]"
WS,EBC,"[1.0, 1.0, 1.0162881282218033, 1.2403395252783378, 1.0, 1.158305199083312, 1.0145368501558605, 1.1010255219374798, 1.3367214711059512, 1.0]","[1.0, 1.0, 1.0217249302574127, 1.253471061520671, 1.0, 1.1523511578934842, 1.0093604562671383, 1.101566027224611, 1.3342531689395638, 1.0]"
BA,FR,"[1.0928464336246593, 1.0137380200029746, 1.0, 1.029789050002717, 1.0, 1.0906727642019654, 1.074786741526719, 1.0137380200029746, 1.0, 1.1238965573602138]","[1.083603241238293, 1.009022632441602, 1.0, 1.0305395741444545, 1.0, 1.0699791596705324, 1.0598389357050173, 1.009022632441602, 1.0, 1.0908530757514365]"
BA,ORC,"[1.3212602897190382, 1.0137380200029746, 1.0, 1.675488134898815, 1.0, 1.0, 3.422405059945912, 1.0, 1.126204811418931, 1.0278587642667034]","[1.3059394105955866, 1.009022632441602, 1.0, 1.675415195599751, 1.0, 1.0, 3.5736122625854123, 1.0, 1.105017437594317, 1.018209563077777]"
BA,EBC,"[1.1641299543796304, 1.126204811418931, 1.0278587642667034, 1.146049749629422, 1.0, 1.0, 1.0906727642019654, 1.1070354429261606, 1.0, 1.3212602897190382]","[1.1424281813111081, 1.105017437594317, 1.018209563077777, 1.130875677266821, 1.0, 1.0, 1.0699791596705324, 1.0803152953598991, 1.0, 1.3059394105955866]"
